id_medicao,id_cliente,data_medicao,consumo_kwh,tipo_medicao
1,1,2024-01-01,3835.76,Normal
2,2,2024-01-01,2897.98,Normal
3,3,2024-01-01,3253.0,Normal
4,4,2024-01-01,2001.29,Normal
5,5,2024-01-01,0.0,Normal
6,6,2024-01-01,2762.91,Normal
7,7,2024-01-01,2831.69,Estimada
8,8,2024-01-01,3175.88,Normal
9,9,2024-01-01,3191.77,Normal
10,10,2024-01-01,3515.67,Normal
11,11,2024-01-01,4552.43,Normal
12,12,2024-01-01,3173.7,Normal
13,13,2024-01-01,458.57,Normal
14,14,2024-01-01,2813.42,Normal
15,15,2024-01-01,3299.89,Estimada
16,16,2024-01-01,3566.77,Normal
17,17,2024-01-01,2361.39,Normal
18,18,2024-01-01,0.0,Normal
19,19,2024-01-01,3374.65,Normal
20,20,2024-01-01,2641.36,Normal
21,21,2024-01-01,2307.21,Normal
22,22,2024-01-01,3722.16,Normal
23,23,2024-01-01,2946.34,Normal
24,24,2024-01-01,132.02,Normal
25,25,2024-01-01,1271.13,Normal
26,26,2024-01-01,3902.25,Normal
27,27,2024-01-01,2337.46,Normal
28,28,2024-01-01,3536.53,Normal
29,29,2024-01-01,3008.44,Normal
30,30,2024-01-01,453.12,Normal
31,31,2024-01-01,116.52,Normal
32,32,2024-01-01,2619.93,Normal
33,33,2024-01-01,204.35,Normal
34,34,2024-01-01,2023.91,Normal
35,35,2024-01-01,4094.88,Estimada
36,36,2024-01-01,2370.04,Normal
37,37,2024-01-01,0.0,Normal
38,38,2024-01-01,2243.7,Normal
39,39,2024-01-01,3747.34,Normal
40,40,2024-01-01,3088.88,Normal
41,41,2024-01-01,586.95,Normal
42,42,2024-01-01,3544.72,Normal
43,43,2024-01-01,2381.33,Normal
44,44,2024-01-01,814.62,Normal
45,45,2024-01-01,3095.47,Normal
46,46,2024-01-01,2552.72,Normal
47,47,2024-01-01,3985.83,Normal
48,48,2024-01-01,393.43,Normal
49,49,2024-01-01,3033.88,Normal
50,50,2024-01-01,3200.06,Normal
51,51,2024-01-01,3213.94,Normal
52,52,2024-01-01,0.0,Normal
53,53,2024-01-01,2633.66,Normal
54,54,2024-01-01,752.71,Normal
55,55,2024-01-01,2770.78,Estimada
56,56,2024-01-01,203.08,Normal
57,57,2024-01-01,448.58,Normal
58,58,2024-01-01,486.6,Normal
59,59,2024-01-01,686.7,Normal
60,60,2024-01-01,3253.51,Normal
61,61,2024-01-01,3090.32,Estimada
62,62,2024-01-01,3375.87,Normal
63,63,2024-01-01,3419.59,Normal
64,64,2024-01-01,3907.69,Normal
65,65,2024-01-01,2193.27,Normal
66,66,2024-01-01,3465.5,Estimada
67,67,2024-01-01,332.75,Normal
68,68,2024-01-01,603.1,Normal
69,69,2024-01-01,3611.6,Estimada
70,70,2024-01-01,3347.12,Normal
71,71,2024-01-01,3394.95,Normal
72,72,2024-01-01,304.29,Normal
73,73,2024-01-01,2329.74,Normal
74,74,2024-01-01,1082.22,Normal
75,75,2024-01-01,1990.22,Normal
76,76,2024-01-01,3535.7,Normal
77,77,2024-01-01,1924.39,Normal
78,78,2024-01-01,1384.15,Normal
79,79,2024-01-01,3225.55,Normal
80,80,2024-01-01,0.0,Normal
81,81,2024-01-01,3311.2,Normal
82,82,2024-01-01,529.2,Estimada
83,83,2024-01-01,544.8,Normal
84,84,2024-01-01,2409.3,Normal
85,85,2024-01-01,3511.22,Normal
