id_medicao,id_cliente,data_medicao,consumo_kwh,tipo_medicao
1,1,01/01/2024,3835.76,Normal
2,2,01/01/2024,2897.98,Normal
3,3,01/01/2024,3253.0,Normal
4,4,01/01/2024,2001.29,Normal
5,5,01/01/2024,0.0,Normal
6,6,01/01/2024,2762.91,Normal
7,7,01/01/2024,2831.69,Estimada
8,8,01/01/2024,3175.88,Normal
9,9,01/01/2024,3191.77,Normal
10,10,01/01/2024,3515.67,Normal
11,11,01/01/2024,4552.43,Normal
12,12,01/01/2024,3173.7,Normal
13,13,01/01/2024,458.57,Normal
14,14,01/01/2024,2813.42,Normal
15,15,01/01/2024,3299.89,Estimada
16,16,01/01/2024,3566.77,Normal
17,17,01/01/2024,2361.39,Normal
18,18,01/01/2024,0.0,Normal
19,19,01/01/2024,3374.65,Normal
20,20,01/01/2024,2641.36,Normal
21,21,01/01/2024,2307.21,Normal
22,22,01/01/2024,3722.16,Normal
23,23,01/01/2024,2946.34,Normal
24,24,01/01/2024,132.02,Normal
25,25,01/01/2024,1271.13,Normal
26,26,01/01/2024,3902.25,Normal
27,27,01/01/2024,2337.46,Normal
28,28,01/01/2024,3536.53,Normal
29,29,01/01/2024,3008.44,Normal
30,30,01/01/2024,453.12,Normal
31,31,01/01/2024,116.52,Normal
32,32,01/01/2024,2619.93,Normal
33,33,01/01/2024,204.35,Normal
34,34,01/01/2024,2023.91,Normal
35,35,01/01/2024,4094.88,Estimada
36,36,01/01/2024,2370.04,Normal
37,37,01/01/2024,0.0,Normal
38,38,01/01/2024,2243.7,Normal
39,39,01/01/2024,3747.34,Normal
40,40,01/01/2024,3088.88,Normal
41,41,01/01/2024,586.95,Normal
42,42,01/01/2024,3544.72,Normal
43,43,01/01/2024,2381.33,Normal
44,44,01/01/2024,814.62,Normal
45,45,01/01/2024,3095.47,Normal
46,46,01/01/2024,2552.72,Normal
47,47,01/01/2024,3985.83,Normal
48,48,01/01/2024,393.43,Normal
49,49,01/01/2024,3033.88,Normal
50,50,01/01/2024,3200.06,Normal
51,51,01/01/2024,3213.94,Normal
52,52,01/01/2024,0.0,Normal
53,53,01/01/2024,2633.66,Normal
54,54,01/01/2024,752.71,Normal
55,55,01/01/2024,2770.78,Estimada
56,56,01/01/2024,203.08,Normal
57,57,01/01/2024,448.58,Normal
58,58,01/01/2024,486.6,Normal
59,59,01/01/2024,686.7,Normal
60,60,01/01/2024,3253.51,Normal
61,61,01/01/2024,3090.32,Estimada
62,62,01/01/2024,3375.87,Normal
63,63,01/01/2024,3419.59,Normal
64,64,01/01/2024,3907.69,Normal
65,65,01/01/2024,2193.27,Normal
66,66,01/01/2024,3465.5,Estimada
67,67,01/01/2024,332.75,Normal
68,68,01/01/2024,603.1,Normal
69,69,01/01/2024,3611.6,Estimada
70,70,01/01/2024,3347.12,Normal
71,71,01/01/2024,3394.95,Normal
72,72,01/01/2024,304.29,Normal
73,73,01/01/2024,2329.74,Normal
74,74,01/01/2024,1082.22,Normal
75,75,01/01/2024,1990.22,Normal
76,76,01/01/2024,3535.7,Normal
77,77,01/01/2024,1924.39,Normal
78,78,01/01/2024,1384.15,Normal
79,79,01/01/2024,3225.55,Normal
80,80,01/01/2024,0.0,Normal
81,81,01/01/2024,3311.2,Normal
82,82,01/01/2024,529.2,Estimada
83,83,01/01/2024,544.8,Normal
84,84,01/01/2024,2409.3,Normal
85,85,01/01/2024,3511.22,Normal
86,86,01/01/2024,1907.14,Normal
87,87,01/01/2024,1159.38,Normal
88,88,01/01/2024,543.43,Normal
89,89,01/01/2024,0.0,Normal
90,90,01/01/2024,3765.37,Normal
91,91,01/01/2024,2766.59,Normal
92,92,01/01/2024,2786.34,Normal
93,93,01/01/2024,3261.21,Normal
94,94,01/01/2024,3103.42,Normal
95,95,01/01/2024,627.12,Normal
96,96,01/01/2024,260.29,Estimada
97,97,01/01/2024,3045.72,Normal
98,98,01/01/2024,1157.2,Normal
99,99,01/01/2024,2729.84,Normal
100,100,01/01/2024,3256.77,Normal
101,101,01/01/2024,2588.69,Normal
102,102,01/01/2024,2924.83,Normal
103,103,01/01/2024,0.0,Normal
104,104,01/01/2024,3034.24,Normal
105,105,01/01/2024,1773.02,Normal
106,106,01/01/2024,3206.53,Normal
107,107,01/01/2024,2768.53,Estimada
108,108,01/01/2024,2459.29,Normal
109,109,01/01/2024,0.0,Normal
110,110,01/01/2024,687.54,Normal
111,111,01/01/2024,717.78,Normal
112,112,01/01/2024,946.13,Normal
113,113,01/01/2024,2877.6,Normal
114,114,01/01/2024,2436.25,Normal
115,115,01/01/2024,2959.87,Normal
116,116,01/01/2024,3546.64,Normal
117,117,01/01/2024,0.0,Normal
118,118,01/01/2024,2629.98,Normal
119,119,01/01/2024,3367.12,Normal
120,120,01/01/2024,2323.92,Normal
121,121,01/01/2024,3333.49,Normal
122,122,01/01/2024,2225.23,Normal
123,123,01/01/2024,3854.27,Normal
124,124,01/01/2024,2793.74,Normal
125,125,01/01/2024,3194.98,Normal
126,126,01/01/2024,3602.03,Estimada
127,127,01/01/2024,2625.68,Normal
128,128,01/01/2024,3434.05,Normal
129,129,01/01/2024,0.0,Normal
130,130,01/01/2024,0.0,Normal
131,131,01/01/2024,3619.27,Normal
132,132,01/01/2024,2892.53,Normal
133,133,01/01/2024,2327.32,Normal
134,134,01/01/2024,912.01,Normal
135,135,01/01/2024,2876.75,Normal
136,136,01/01/2024,0.0,Normal
137,137,01/01/2024,0.0,Estimada
138,138,01/01/2024,0.0,Normal
139,139,01/01/2024,934.22,Normal
140,140,01/01/2024,2101.99,Estimada
141,141,01/01/2024,3655.61,Normal
142,142,01/01/2024,847.2,Normal
143,143,01/01/2024,3624.57,Normal
144,144,01/01/2024,2849.95,Normal
145,145,01/01/2024,2989.99,Normal
146,146,01/01/2024,3191.81,Normal
147,147,01/01/2024,932.66,Normal
148,148,01/01/2024,3382.05,Normal
149,149,01/01/2024,2881.71,Normal
150,150,01/01/2024,301.8,Normal
151,151,01/01/2024,3077.71,Normal
152,152,01/01/2024,4232.87,Normal
153,153,01/01/2024,354.6,Normal
154,154,01/01/2024,2796.09,Normal
155,155,01/01/2024,2389.84,Normal
156,156,01/01/2024,140.66,Normal
157,157,01/01/2024,3096.67,Normal
158,158,01/01/2024,451.86,Normal
159,159,01/01/2024,682.65,Normal
160,160,01/01/2024,1201.04,Normal
161,161,01/01/2024,1742.48,Normal
162,162,01/01/2024,514.1,Normal
163,163,01/01/2024,3186.53,Normal
164,164,01/01/2024,4000.97,Normal
165,165,01/01/2024,3289.06,Normal
166,166,01/01/2024,2738.8,Normal
167,167,01/01/2024,2782.94,Estimada
168,168,01/01/2024,2728.11,Normal
169,169,01/01/2024,3061.62,Normal
170,170,01/01/2024,3354.73,Normal
171,171,01/01/2024,0.0,Normal
172,172,01/01/2024,3150.86,Normal
173,173,01/01/2024,3143.46,Normal
174,174,01/01/2024,2942.19,Normal
175,175,01/01/2024,2969.74,Normal
176,176,01/01/2024,2474.15,Normal
177,177,01/01/2024,3120.93,Estimada
178,178,01/01/2024,2515.24,Normal
179,179,01/01/2024,3362.88,Normal
180,180,01/01/2024,2770.52,Normal
181,181,01/01/2024,2171.78,Normal
182,182,01/01/2024,3628.22,Normal
183,183,01/01/2024,218.7,Normal
184,184,01/01/2024,2699.21,Normal
185,185,01/01/2024,2252.06,Normal
186,186,01/01/2024,941.05,Normal
187,187,01/01/2024,115.12,Normal
188,188,01/01/2024,2719.77,Normal
189,189,01/01/2024,2362.82,Normal
190,190,01/01/2024,813.04,Normal
191,191,01/01/2024,745.32,Normal
192,192,01/01/2024,2486.05,Normal
193,193,01/01/2024,2783.73,Normal
194,194,01/01/2024,1163.54,Normal
195,195,01/01/2024,2028.01,Normal
196,196,01/01/2024,4349.86,Normal
197,197,01/01/2024,383.66,Normal
198,198,01/01/2024,2476.76,Normal
199,199,01/01/2024,2503.27,Normal
200,200,01/01/2024,789.7,Normal
201,201,01/01/2024,3208.12,Normal
202,202,01/01/2024,1038.09,Normal
203,203,01/01/2024,2938.83,Normal
204,204,01/01/2024,2782.42,Normal
205,205,01/01/2024,2128.59,Normal
206,206,01/01/2024,497.52,Normal
207,207,01/01/2024,2805.2,Normal
208,208,01/01/2024,776.92,Normal
209,209,01/01/2024,1005.95,Normal
210,210,01/01/2024,3160.53,Estimada
211,211,01/01/2024,3232.52,Normal
212,212,01/01/2024,3083.33,Normal
213,213,01/01/2024,3162.59,Normal
214,214,01/01/2024,416.64,Normal
215,215,01/01/2024,490.83,Normal
216,216,01/01/2024,3655.89,Normal
217,217,01/01/2024,3183.23,Normal
218,218,01/01/2024,2871.52,Normal
219,219,01/01/2024,2697.83,Normal
220,220,01/01/2024,2962.09,Normal
221,221,01/01/2024,1046.53,Normal
222,222,01/01/2024,3287.68,Normal
223,223,01/01/2024,0.0,Normal
224,224,01/01/2024,592.88,Estimada
225,225,01/01/2024,194.56,Normal
226,226,01/01/2024,3597.27,Normal
227,227,01/01/2024,101.02,Normal
228,228,01/01/2024,427.63,Normal
229,229,01/01/2024,2658.2,Estimada
230,230,01/01/2024,854.77,Normal
231,231,01/01/2024,2894.33,Estimada
232,232,01/01/2024,2941.3,Normal
233,233,01/01/2024,345.73,Normal
234,234,01/01/2024,3343.47,Normal
235,235,01/01/2024,2981.61,Estimada
236,236,01/01/2024,2492.39,Normal
237,237,01/01/2024,2463.19,Normal
238,238,01/01/2024,3182.14,Normal
239,239,01/01/2024,2585.48,Normal
240,240,01/01/2024,3100.85,Normal
241,241,01/01/2024,2442.76,Normal
242,242,01/01/2024,2815.51,Estimada
243,243,01/01/2024,477.06,Normal
244,244,01/01/2024,4021.49,Estimada
245,245,01/01/2024,2393.77,Normal
246,246,01/01/2024,3567.74,Normal
247,247,01/01/2024,4064.47,Normal
248,248,01/01/2024,3344.34,Estimada
249,249,01/01/2024,686.25,Normal
250,250,01/01/2024,3799.56,Normal
251,251,01/01/2024,3562.4,Normal
252,252,01/01/2024,100.3,Normal
253,253,01/01/2024,229.92,Normal
254,254,01/01/2024,657.03,Normal
255,255,01/01/2024,493.31,Normal
256,256,01/01/2024,3268.21,Normal
257,257,01/01/2024,3739.06,Normal
258,258,01/01/2024,2752.15,Normal
259,259,01/01/2024,3081.33,Normal
260,260,01/01/2024,2571.85,Normal
261,261,01/01/2024,603.12,Normal
262,262,01/01/2024,0.0,Normal
263,263,01/01/2024,2822.34,Normal
264,264,01/01/2024,805.12,Normal
265,265,01/01/2024,0.0,Normal
266,266,01/01/2024,1038.98,Normal
267,267,01/01/2024,3772.26,Normal
268,268,01/01/2024,3472.6,Normal
269,269,01/01/2024,3598.45,Normal
270,270,01/01/2024,541.54,Normal
271,271,01/01/2024,886.92,Normal
272,272,01/01/2024,3561.09,Normal
273,273,01/01/2024,615.76,Normal
274,274,01/01/2024,0.0,Normal
275,275,01/01/2024,3605.37,Normal
276,276,01/01/2024,3309.52,Normal
277,277,01/01/2024,2803.01,Normal
278,278,01/01/2024,2794.09,Normal
279,279,01/01/2024,3014.52,Normal
280,280,01/01/2024,3537.66,Normal
281,281,01/01/2024,3367.13,Normal
282,282,01/01/2024,3.31,Normal
283,283,01/01/2024,1303.06,Normal
284,284,01/01/2024,1281.23,Normal
285,285,01/01/2024,3.83,Normal
286,286,01/01/2024,3192.94,Normal
287,287,01/01/2024,3040.78,Normal
288,288,01/01/2024,3653.28,Normal
289,289,01/01/2024,61.18,Normal
290,290,01/01/2024,3391.25,Normal
291,291,01/01/2024,3308.84,Normal
292,292,01/01/2024,3349.12,Normal
293,293,01/01/2024,3227.84,Normal
294,294,01/01/2024,2459.15,Normal
295,295,01/01/2024,3425.05,Estimada
296,296,01/01/2024,937.86,Normal
297,297,01/01/2024,3178.08,Normal
298,298,01/01/2024,3024.34,Normal
299,299,01/01/2024,3843.49,Normal
300,300,01/01/2024,3836.97,Estimada
301,301,01/01/2024,2794.29,Normal
302,302,01/01/2024,764.37,Normal
303,303,01/01/2024,0.0,Estimada
304,304,01/01/2024,2600.25,Normal
305,305,01/01/2024,2756.62,Estimada
306,306,01/01/2024,3070.92,Estimada
307,307,01/01/2024,2862.89,Estimada
308,308,01/01/2024,2500.34,Normal
309,309,01/01/2024,2522.97,Normal
310,310,01/01/2024,2523.2,Estimada
311,311,01/01/2024,2465.37,Normal
312,312,01/01/2024,0.0,Normal
313,313,01/01/2024,3086.96,Normal
314,314,01/01/2024,2915.37,Normal
315,315,01/01/2024,2026.06,Normal
316,316,01/01/2024,3391.86,Normal
317,317,01/01/2024,424.58,Normal
318,318,01/01/2024,381.5,Normal
319,319,01/01/2024,1079.9,Normal
320,320,01/01/2024,2811.54,Normal
321,321,01/01/2024,3204.17,Normal
322,322,01/01/2024,2997.65,Normal
323,323,01/01/2024,2721.36,Normal
324,324,01/01/2024,2467.98,Estimada
325,325,01/01/2024,88.44,Normal
326,326,01/01/2024,2917.91,Normal
327,327,01/01/2024,1006.03,Normal
328,328,01/01/2024,1857.93,Normal
329,329,01/01/2024,0.0,Normal
330,330,01/01/2024,3275.78,Normal
331,331,01/01/2024,3202.13,Normal
332,332,01/01/2024,57.99,Normal
333,333,01/01/2024,2938.41,Normal
334,334,01/01/2024,3559.63,Normal
335,335,01/01/2024,2848.88,Normal
336,336,01/01/2024,3111.76,Estimada
337,337,01/01/2024,2993.2,Normal
