id_perda,data_perda,estado,perda_tecnica_kwh,perda_nao_tecnica_kwh
1,01/01/2024,SP,1186,1954
2,01/01/2024,MG,864,568
3,01/01/2024,BA,2216,1888
4,01/02/2024,SP,1894,1875
5,01/02/2024,MG,577,488
6,01/02/2024,BA,2130,1713
7,01/03/2024,SP,1825,970
8,01/03/2024,MG,2905,1258
9,01/03/2024,BA,2883,1487
10,01/04/2024,SP,1402,640
11,01/04/2024,MG,2619,1365
12,01/04/2024,BA,910,1197
13,01/05/2024,SP,1143,320
14,01/05/2024,MG,1177,1895
15,01/05/2024,BA,1599,902
16,01/06/2024,SP,587,1917
17,01/06/2024,MG,2564,1652
18,01/06/2024,BA,2930,1888
19,01/07/2024,SP,1669,752
20,01/07/2024,MG,1916,609
21,01/07/2024,BA,991,1059
22,01/08/2024,SP,500,340
23,01/08/2024,MG,1171,511
24,01/08/2024,BA,1856,1974
25,01/09/2024,SP,2465,603
26,01/09/2024,MG,1190,1477
27,01/09/2024,BA,1115,822
28,01/10/2024,SP,2572,1107
29,01/10/2024,MG,524,895
30,01/10/2024,BA,2276,1442
31,01/11/2024,SP,607,1653
32,01/11/2024,MG,679,1180
33,01/11/2024,BA,2678,902
34,01/12/2024,SP,667,522
35,01/12/2024,MG,968,577
36,01/12/2024,BA,2737,830
